,,,,,,,
,,,,,,,
Customer_Segment,COUNTA of Customer Id,AVERAGE of SUM of Total_Value,AVERAGE of M_Score,SUM of SUM of Total_Value,,,
14035,151.04,2,11/11/2010,,,,
14037,6.60,1,29/09/2010,,,,
14038,68.65,3,03/12/2010,,,,
14040,124.80,4,01/11/2010,,,,
14043,6.18,2,22/08/2010,,,,
14044,41.95,4,12/11/2010,,,,
14047,43.80,2,22/11/2010,,,,
14048,3.90,1,17/06/2010,,,,
14049,63.48,3,13/08/2010,,,,
14051,33.60,1,28/04/2010,,,,
14052,2.80,1,28/10/2010,,,,
14055,29.75,1,30/06/2010,,,,
14057,34.00,1,12/08/2010,,,,
14060,121.80,2,05/12/2010,,,,
14062,34.65,1,09/12/2010,,,,
14063,815.60,2,08/06/2010,,,,
14065,10.20,1,09/12/2010,,,,
14068,11.90,1,13/07/2010,,,,
14069,2.70,2,23/11/2010,,,,
14070,33.80,1,07/10/2010,,,,
14077,20.10,1,03/12/2010,,,,
14078,17.23,2,19/09/2010,,,,
14080,56.95,2,22/11/2010,,,,
14081,119.36,5,09/12/2010,,,,
14082,1.65,1,08/08/2010,,,,
14083,15.98,1,21/10/2010,,,,
14085,103.30,8,29/11/2010,,,,
14087,4.20,2,29/01/2010,,,,
14088,174.25,1,27/09/2010,,,,
14091,850.00,1,24/01/2010,,,,
14092,107.70,4,02/11/2010,,,,
14094,8.85,1,10/11/2010,,,,
14097,9.90,1,16/11/2010,,,,
14099,49.40,4,19/11/2010,,,,
14105,184.71,4,26/11/2010,,,,
14107,10.08,1,16/02/2010,,,,
14110,113.50,3,09/11/2010,,,,
14112,56.65,4,25/11/2010,,,,
14114,42.90,2,09/12/2010,,,,
14115,30.00,1,12/11/2010,,,,
14118,17.00,1,15/12/2009,,,,
14127,19.50,1,10/02/2010,,,,
14130,34.30,2,11/11/2010,,,,
14131,2.55,1,20/09/2010,,,,
14134,109.08,3,26/11/2010,,,,
14135,66.20,2,04/10/2010,,,,
14139,14.85,1,14/06/2010,,,,
14145,594.00,1,04/11/2010,,,,
14146,48.06,2,18/11/2010,,,,
14148,17.70,1,25/04/2010,,,,
14151,52.95,2,25/11/2010,,,,
14152,15.00,1,08/04/2010,,,,
14154,79.82,3,24/11/2010,,,,
14156,"2,009.13",31,30/11/2010,,,,
14157,1.90,1,18/06/2010,,,,
14159,41.85,5,28/11/2010,,,,
14160,235.00,2,10/10/2010,,,,
14161,20.90,2,05/08/2010,,,,
14166,1.95,1,03/12/2010,,,,
14167,19.85,3,25/08/2010,,,,
14169,18.32,2,18/05/2010,,,,
14170,6.75,2,14/11/2010,,,,
14175,129.45,5,01/12/2010,,,,
14176,17.70,1,18/08/2010,,,,
14177,37.12,4,11/11/2010,,,,
14180,49.95,1,23/11/2010,,,,
14181,19.40,2,13/07/2010,,,,
14182,7.50,1,04/12/2009,,,,
14183,17.85,1,08/11/2010,,,,
14186,16.60,2,25/11/2010,,,,
14189,62.60,1,18/11/2010,,,,
14193,15.90,1,19/07/2010,,,,
14194,105.45,4,22/11/2010,,,,
14201,30.00,1,14/10/2010,,,,
14204,16.05,3,07/10/2010,,,,
14205,44.70,3,18/11/2010,,,,
14206,10.20,1,03/12/2009,,,,
14208,17.70,1,08/01/2010,,,,
14209,69.25,4,23/11/2010,,,,
14210,70.74,5,28/09/2010,,,,
14211,6.75,2,15/06/2010,,,,
14215,15.30,1,24/11/2010,,,,
14217,46.25,3,29/11/2010,,,,
14219,14.75,1,11/06/2010,,,,
14224,6.80,1,29/04/2010,,,,
14225,-16.00,1,12/07/2010,,,,
14227,12.50,1,02/11/2010,,,,
14228,17.85,1,20/04/2010,,,,
14229,19.80,1,22/02/2010,,,,
14230,35.70,1,08/09/2010,,,,
14235,15.12,2,29/09/2010,,,,
14236,20.40,1,20/10/2010,,,,
14239,74.00,4,12/11/2010,,,,
14243,30.60,2,12/07/2010,,,,
14247,7.50,2,16/03/2010,,,,
14248,13.92,1,11/12/2009,,,,
14249,90.40,5,07/12/2010,,,,
14254,26.40,1,28/02/2010,,,,
14256,18.25,2,13/07/2010,,,,
14257,128.70,3,19/11/2010,,,,
14258,111.20,1,27/01/2010,,,,
14264,34.90,2,27/05/2010,,,,
14265,17.70,1,22/07/2010,,,,
14268,15.30,1,26/08/2010,,,,
14269,10.08,1,16/08/2010,,,,
14276,15.00,1,14/06/2010,,,,
14277,-52.60,5,15/11/2010,,,,
14282,408.00,4,28/09/2010,,,,
14283,84.24,4,20/10/2010,,,,
14284,27.00,1,02/12/2010,,,,
14285,35.40,1,04/11/2010,,,,
14286,80.70,1,30/11/2010,,,,
14290,30.00,1,24/06/2010,,,,
14291,101.85,4,07/10/2010,,,,
14292,68.25,3,24/10/2010,,,,
14293,210.10,4,24/11/2010,,,,
14294,17.00,1,01/07/2010,,,,
14295,17.70,1,01/12/2009,,,,
14296,13.20,1,29/09/2010,,,,
14298,995.26,14,05/12/2010,,,,
14299,220.02,4,01/11/2010,,,,
14301,73.20,2,17/09/2010,,,,
14302,15.00,1,25/11/2010,,,,
14304,17.70,1,20/04/2010,,,,
14306,151.20,1,19/09/2010,,,,
14309,10.08,2,24/11/2010,,,,
14312,21.54,1,14/11/2010,,,,
14320,17.70,1,31/08/2010,,,,
14321,17.70,1,23/02/2010,,,,
14324,5.04,1,26/08/2010,,,,
14325,15.00,1,01/03/2010,,,,
14326,12.75,1,06/04/2010,,,,
14327,15.00,1,20/10/2010,,,,
14329,111.24,4,08/12/2010,,,,
14330,19.50,1,04/11/2010,,,,
14332,23.60,1,14/07/2010,,,,
14334,12.50,1,01/09/2010,,,,
14338,19.80,1,26/11/2010,,,,
14341,45.50,3,06/12/2010,,,,
14342,12.50,1,11/06/2010,,,,
14343,15.45,2,01/12/2010,,,,
14344,6.60,1,31/08/2010,,,,
14346,39.22,1,28/06/2010,,,,
14347,8.50,1,22/07/2010,,,,
14355,35.40,2,08/11/2010,,,,
14375,14.45,1,09/09/2010,,,,
14378,12.60,1,28/04/2010,,,,
14381,37.62,1,05/12/2010,,,,
14388,57.15,3,18/11/2010,,,,
14390,30.05,2,29/11/2010,,,,
14391,7.80,1,22/10/2010,,,,
14394,15.00,1,29/11/2010,,,,
14395,81.10,3,25/11/2010,,,,
14396,41.05,3,07/11/2010,,,,
14398,5.90,1,27/04/2010,,,,
14399,9.90,1,15/11/2010,,,,
14400,82.80,1,08/04/2010,,,,
14401,18.24,2,19/04/2010,,,,
14404,67.70,2,05/12/2010,,,,
14409,32.40,2,01/10/2010,,,,
14410,73.10,2,16/11/2010,,,,
14413,0.84,1,24/11/2010,,,,
14415,154.14,7,05/12/2010,,,,
14419,7.50,1,15/11/2010,,,,
14420,17.00,1,30/09/2010,,,,
14422,74.65,3,21/04/2010,,,,
14423,244.80,1,10/08/2010,,,,
14426,107.60,3,29/09/2010,,,,
14431,35.70,2,08/04/2010,,,,
14433,2.95,1,07/12/2010,,,,
14439,158.70,2,27/09/2010,,,,
14440,260.70,2,12/11/2010,,,,
14441,29.25,1,19/11/2010,,,,
14442,25.50,1,29/03/2010,,,,
14443,30.00,1,17/11/2010,,,,
14444,6.76,1,25/06/2010,,,,
14445,18.75,1,15/11/2010,,,,
14446,8.25,1,19/04/2010,,,,
14447,56.10,1,22/11/2010,,,,
14449,25.45,3,24/10/2010,,,,
14451,87.85,7,08/12/2010,,,,
14452,24.15,2,13/08/2010,,,,
14454,32.05,2,06/12/2010,,,,
14458,6.80,1,18/01/2010,,,,
14459,79.60,1,18/11/2010,,,,
14460,60.00,1,24/08/2010,,,,
14461,15.80,3,08/11/2010,,,,
14465,93.00,1,02/07/2010,,,,
14466,50.70,2,14/11/2010,,,,
14467,44.25,5,27/10/2010,,,,
14469,32.70,2,18/01/2010,,,,
14470,9.90,1,25/05/2010,,,,
14471,12.60,1,04/11/2010,,,,
14472,5.45,1,28/11/2010,,,,
14474,4.20,1,24/11/2010,,,,
14478,11.60,2,05/08/2010,,,,
14481,25.70,2,05/10/2010,,,,
14482,1.70,1,26/11/2010,,,,
14487,6.75,1,28/11/2010,,,,
14489,8.50,1,25/11/2010,,,,
14490,41.10,2,09/11/2010,,,,
14492,37.75,1,12/10/2010,,,,
14493,185.20,5,06/10/2010,,,,
14496,132.75,3,14/11/2010,,,,
14497,17.00,1,20/10/2010,,,,
14498,64.19,2,10/11/2010,,,,
14505,131.88,6,09/11/2010,,,,
14506,55.70,2,29/11/2010,,,,
14507,70.95,3,09/12/2010,,,,
14508,1.25,1,26/04/2010,,,,
14510,45.00,1,31/03/2010,,,,
14512,46.50,1,21/11/2010,,,,
14514,132.90,4,08/12/2010,,,,
14515,47.70,1,29/11/2010,,,,
14516,3.80,1,15/10/2010,,,,
14522,29.50,1,31/03/2010,,,,
14524,7.56,1,01/04/2010,,,,
14525,61.25,3,03/12/2010,,,,
14526,4.95,1,20/04/2010,,,,
14527,239.54,30,06/12/2010,,,,
14530,63.35,7,15/11/2010,,,,
14532,111.75,4,09/11/2010,,,,
14534,48.85,2,05/07/2010,,,,
14535,76.95,4,06/12/2010,,,,
14540,71.15,4,03/12/2010,,,,
14541,14.50,1,11/07/2010,,,,
14543,105.70,4,31/08/2010,,,,
14544,21.30,1,31/08/2010,,,,
14545,10.50,1,16/12/2009,,,,
14546,61.00,4,06/12/2010,,,,
14548,10.90,1,18/10/2010,,,,
14549,2.95,1,12/05/2010,,,,
14550,24.90,1,22/07/2010,,,,
14551,1.65,1,26/05/2010,,,,
14552,10.12,2,12/10/2010,,,,
14553,13.71,3,05/12/2010,,,,
14555,21.25,1,25/04/2010,,,,
14556,45.55,3,24/10/2010,,,,
14562,42.90,3,22/11/2010,,,,
14564,55.80,3,14/11/2010,,,,
14565,39.60,1,06/12/2010,,,,
14566,165.00,1,07/12/2010,,,,
14568,0.00,2,24/11/2010,,,,
14572,64.00,3,01/09/2010,,,,
14573,10.15,3,24/11/2010,,,,
14574,20.40,1,17/05/2010,,,,
14575,9.25,1,23/09/2010,,,,
14577,10.35,3,02/06/2010,,,,
14579,1.26,1,07/03/2010,,,,
14581,4.20,1,19/11/2010,,,,
14583,39.63,3,14/11/2010,,,,
14588,7.50,1,02/07/2010,,,,
14590,55.50,6,02/12/2010,,,,
14593,7.28,3,15/11/2010,,,,
14594,8.50,1,02/11/2010,,,,
14595,8.70,1,01/12/2010,,,,
14597,41.48,2,15/11/2010,,,,
14598,-3.45,2,06/10/2010,,,,
14599,14.30,1,12/10/2010,,,,
14600,7.56,1,02/02/2010,,,,
14605,14.25,2,27/07/2010,,,,
14606,307.33,44,09/12/2010,,,,
14607,150.80,2,18/08/2010,,,,
14608,152.40,1,14/05/2010,,,,
14611,15.00,1,18/10/2010,,,,
14615,15.00,1,08/11/2010,,,,
14619,13.20,1,29/09/2010,,,,
14623,16.05,2,21/11/2010,,,,
14625,70.50,3,25/11/2010,,,,
14626,98.55,4,07/11/2010,,,,
14631,51.30,2,26/10/2010,,,,
14634,50.95,3,30/09/2010,,,,
14635,17.40,1,01/12/2009,,,,
14639,42.73,2,16/11/2010,,,,
14640,15.00,1,26/08/2010,,,,
14644,39.00,1,09/12/2009,,,,
14645,13.20,1,20/05/2010,,,,
14646,"4,055.62",20,06/12/2010,,,,
14648,241.59,7,09/11/2010,,,,
14649,50.00,4,29/11/2010,,,,
14651,28.75,3,31/10/2010,,,,
14653,25.45,3,26/10/2010,,,,
14656,15.65,1,27/09/2010,,,,
14657,6.30,1,04/11/2010,,,,
14665,5.10,1,09/05/2010,,,,
14667,200.45,11,06/12/2010,,,,
14669,43.21,3,05/12/2010,,,,
14670,14.05,1,17/05/2010,,,,
14671,18.75,1,17/10/2010,,,,
14673,49.20,1,26/11/2010,,,,
14675,4.20,1,12/05/2010,,,,
14676,175.80,1,08/06/2010,,,,
14679,17.40,1,06/12/2010,,,,
14680,989.16,15,05/12/2010,,,,
14681,29.50,1,28/05/2010,,,,
14682,57.08,3,02/12/2010,,,,
14683,14.64,1,27/09/2010,,,,
14684,1.95,1,29/03/2010,,,,
14685,205.88,3,09/11/2010,,,,
14686,12.10,2,24/11/2010,,,,
14687,81.12,1,28/06/2010,,,,
14688,25.10,2,05/10/2010,,,,
14690,13.52,1,24/02/2010,,,,
14693,18.70,3,22/11/2010,,,,
14695,15.00,1,11/01/2010,,,,
14699,25.20,1,25/08/2010,,,,
14700,47.70,1,15/03/2010,,,,
14701,19.17,3,08/12/2010,,,,
14702,44.89,6,16/07/2010,,,,
14708,50.04,2,07/11/2010,,,,
14709,49.35,1,24/11/2010,,,,
14710,15.10,3,08/11/2010,,,,
14713,5.90,1,27/10/2010,,,,
14714,2.50,1,21/10/2010,,,,
14715,4.95,1,09/06/2010,,,,
14716,7.65,1,17/12/2009,,,,
14722,5.00,2,13/09/2010,,,,
14723,51.50,4,12/10/2010,,,,
14724,1.70,1,22/10/2010,,,,
14727,7.80,1,29/03/2010,,,,
14729,1.30,1,07/07/2010,,,,
14732,18.75,1,09/09/2010,,,,
14733,30.60,1,28/09/2010,,,,
14734,104.87,2,14/11/2010,,,,
14735,22.50,1,10/01/2010,,,,
14736,32.27,2,15/11/2010,,,,
14737,306.00,1,01/11/2010,,,,
14739,217.50,4,01/11/2010,,,,
14740,76.40,3,09/12/2010,,,,
14741,17.70,1,02/11/2010,,,,
14742,19.80,1,12/02/2010,,,,
14744,212.79,5,06/12/2010,,,,
14748,-19.80,1,10/03/2010,,,,
14750,2.95,1,14/01/2010,,,,
14753,12.60,1,27/10/2010,,,,
14754,36.90,2,07/12/2010,,,,
14755,50.10,2,08/10/2010,,,,
14756,25.50,1,18/02/2010,,,,
14758,37.90,1,16/07/2010,,,,
14766,85.20,3,31/10/2010,,,,
14769,298.25,8,05/11/2010,,,,
14770,44.64,2,29/11/2010,,,,
14771,12.50,1,17/12/2009,,,,
14774,37.65,1,18/01/2010,,,,
14775,15.00,1,20/12/2009,,,,
14776,108.00,3,01/12/2010,,,,
14784,10.20,1,07/12/2009,,,,
14788,30.00,1,07/11/2010,,,,
14790,76.68,3,13/04/2010,,,,
14794,32.25,1,10/06/2010,,,,
14796,22.95,6,07/11/2010,,,,
14800,114.86,4,01/11/2010,,,,
14805,14.00,1,15/10/2010,,,,
14809,15.00,1,16/11/2010,,,,
14810,19.70,1,22/11/2010,,,,
14811,4.95,1,31/08/2010,,,,
14812,3.45,1,02/12/2010,,,,
14813,17.45,2,20/05/2010,,,,
14817,35.10,1,13/05/2010,,,,
14825,52.44,2,24/08/2010,,,,
14831,32.40,1,29/11/2010,,,,
14833,6.60,1,16/08/2010,,,,
14837,80.52,3,13/08/2010,,,,
14838,11.80,1,01/02/2010,,,,
14839,13.50,1,14/07/2010,,,,
14841,91.98,3,17/11/2010,,,,
14844,29.70,2,22/08/2010,,,,
14847,16.50,1,24/09/2010,,,,
14849,121.06,7,02/12/2010,,,,
14850,1.65,1,30/06/2010,,,,
14852,117.99,4,19/09/2010,,,,
14854,32.70,2,02/07/2010,,,,
14855,63.00,2,02/11/2010,,,,
14857,-3.15,3,07/09/2010,,,,
14858,15.60,1,24/05/2010,,,,
14861,7.50,2,25/10/2010,,,,
14866,122.40,1,16/07/2010,,,,
14867,17.70,1,20/04/2010,,,,
14868,25.00,1,10/05/2010,,,,
14869,40.20,2,12/02/2010,,,,
14870,62.90,2,28/11/2010,,,,
14871,18.05,2,07/12/2010,,,,
14873,11.80,1,26/04/2010,,,,
14877,9.60,2,10/11/2010,,,,
14878,46.15,4,29/10/2010,,,,
14879,9.25,1,14/11/2010,,,,
14882,7.95,1,19/07/2010,,,,
14890,31.65,1,25/08/2010,,,,
14895,187.36,5,28/09/2010,,,,
14896,14.24,2,25/11/2010,,,,
14898,98.82,5,07/11/2010,,,,
14899,2.90,1,22/11/2010,,,,
14901,14.25,2,05/11/2010,,,,
14902,12.60,1,31/01/2010,,,,
14904,1.25,1,15/02/2010,,,,
14905,22.74,1,11/11/2010,,,,
14907,18.95,3,31/10/2010,,,,
14911,"2,520.50",79,09/12/2010,,,,
14913,102.48,3,08/12/2010,,,,
14915,15.00,1,30/05/2010,,,,
14916,-19.50,1,27/07/2010,,,,
14918,55.44,1,01/12/2010,,,,
14919,17.70,1,17/08/2010,,,,
14920,11.40,1,05/12/2010,,,,
14928,14.85,1,08/03/2010,,,,
14929,30.00,1,06/04/2010,,,,
14930,59.23,2,19/10/2010,,,,
14932,30.60,1,16/11/2010,,,,
14933,295.00,1,22/11/2010,,,,
14934,-64.47,4,02/11/2010,,,,
14936,25.50,1,23/11/2010,,,,
14938,31.50,2,12/11/2010,,,,
14944,69.80,2,15/11/2010,,,,
14949,11.33,2,12/08/2010,,,,
14952,411.84,6,16/11/2010,,,,
14953,9.25,2,03/12/2010,,,,
14954,2.95,1,24/01/2010,,,,
14956,331.25,1,16/11/2010,,,,
14958,22.80,1,25/11/2010,,,,
14961,84.00,3,23/06/2010,,,,
14963,8.35,2,30/09/2010,,,,
14966,21.82,3,29/09/2010,,,,
14978,17.00,1,25/03/2010,,,,
14979,4.25,1,13/04/2010,,,,
14981,-29.70,1,29/01/2010,,,,
14983,1.65,1,09/11/2010,,,,
14986,10.85,1,22/06/2010,,,,
14988,25.14,1,12/10/2010,,,,
14990,2.20,2,17/11/2010,,,,
14991,6.50,1,11/12/2009,,,,
14992,26.10,1,15/11/2010,,,,
14994,5.95,1,27/04/2010,,,,
14996,21.87,1,06/12/2010,,,,
14997,30.00,1,13/09/2010,,,,
14998,16.50,2,22/09/2010,,,,
15001,0.84,1,08/12/2009,,,,
15002,84.55,5,18/10/2010,,,,
15003,21.84,4,31/10/2010,,,,
15005,174.67,21,06/12/2010,,,,
15006,2.80,1,26/11/2010,,,,
15012,4.89,1,07/12/2010,,,,
15013,41.21,5,26/10/2010,,,,
15015,28.61,3,18/07/2010,,,,
15016,3.55,2,25/10/2010,,,,
15021,15.85,4,08/12/2010,,,,
15023,80.69,6,15/11/2010,,,,
15024,8.25,1,17/02/2010,,,,
15025,17.65,1,22/07/2010,,,,
15026,23.80,1,17/08/2010,,,,
15027,123.48,2,08/12/2010,,,,
15028,46.80,3,03/12/2010,,,,
15029,33.00,1,22/08/2010,,,,
15031,40.16,7,09/12/2010,,,,
15032,165.00,1,18/05/2010,,,,
15034,22.32,3,05/12/2010,,,,
15038,10.35,2,13/10/2010,,,,
15039,342.48,15,09/12/2010,,,,
15043,137.25,2,30/06/2010,,,,
15044,174.33,8,29/11/2010,,,,
15046,47.82,2,07/10/2010,,,,
15050,11.90,1,07/07/2010,,,,
15051,11.25,1,02/12/2009,,,,
15055,5.95,1,30/03/2010,,,,
15058,8.50,1,08/11/2010,,,,
15059,96.90,5,02/12/2010,,,,
15061,"1,454.68",9,16/11/2010,,,,
15062,25.35,1,03/10/2010,,,,
15065,17.90,1,03/12/2010,,,,
15067,35.40,2,07/12/2010,,,,
15068,16.75,2,28/06/2010,,,,
15070,32.70,2,07/06/2010,,,,
15071,24.95,2,02/12/2010,,,,
15073,25.20,2,05/07/2010,,,,
15078,59.80,2,01/12/2010,,,,
15079,23.60,1,05/03/2010,,,,
15084,29.85,2,23/06/2010,,,,
15085,39.60,1,06/01/2010,,,,
15093,99.00,2,01/11/2010,,,,
15097,2.55,1,26/11/2010,,,,
15101,17.70,1,12/02/2010,,,,
15105,11.40,1,02/03/2010,,,,
15110,17.00,1,02/12/2009,,,,
15111,34.00,1,30/03/2010,,,,
15112,17.85,1,13/12/2009,,,,
15115,13.95,1,15/09/2010,,,,
15117,173.20,2,10/08/2010,,,,
15123,17.40,1,21/09/2010,,,,
15125,130.80,1,16/12/2009,,,,
15129,134.10,3,19/05/2010,,,,
15134,15.00,1,23/09/2010,,,,
15138,18.24,1,14/11/2010,,,,
15140,15.00,1,01/03/2010,,,,
15142,145.98,3,08/09/2010,,,,
15143,17.70,1,18/05/2010,,,,
15144,272.40,3,06/12/2010,,,,
15149,23.40,1,24/03/2010,,,,
15150,30.00,1,19/08/2010,,,,
15151,83.70,2,25/11/2010,,,,
15152,17.40,1,11/12/2009,,,,
15154,19.50,2,05/12/2010,,,,
15155,20.00,1,30/07/2010,,,,
15157,56.40,1,16/09/2010,,,,
15159,186.60,2,28/11/2010,,,,
15164,6.10,3,04/11/2010,,,,
15167,14.25,3,11/10/2010,,,,
15169,31.10,2,28/04/2010,,,,
15170,15.00,1,27/08/2010,,,,
15173,-1.95,1,26/07/2010,,,,
15176,12.75,1,22/12/2009,,,,
15179,54.00,2,12/09/2010,,,,
15180,17.85,1,20/07/2010,,,,
15182,14.80,3,12/10/2010,,,,
15183,41.88,2,22/11/2010,,,,
15188,7.50,1,03/03/2010,,,,
15191,10.20,1,04/11/2010,,,,
15192,43.20,2,19/04/2010,,,,
15194,88.70,4,12/11/2010,,,,
15196,5.05,2,21/06/2010,,,,
15197,25.00,1,18/01/2010,,,,
15199,65.40,1,18/12/2009,,,,
15203,68.13,5,21/10/2010,,,,
15209,13.50,1,02/09/2010,,,,
15215,-9.22,2,29/11/2010,,,,
15217,15.00,1,23/11/2010,,,,
15218,52.85,2,13/09/2010,,,,
15222,39.00,1,20/05/2010,,,,
15227,71.40,1,10/10/2010,,,,
15228,53.10,1,29/10/2010,,,,
15240,59.96,4,06/06/2010,,,,
15241,30.60,1,13/10/2010,,,,
15245,183.60,1,29/04/2010,,,,
15246,10.50,1,28/03/2010,,,,
15248,32.70,2,29/11/2010,,,,
15249,30.28,1,15/08/2010,,,,
15251,171.60,2,21/09/2010,,,,
15254,32.70,1,28/11/2010,,,,
15255,29.97,2,07/11/2010,,,,
15259,31.60,2,12/11/2010,,,,
15260,59.83,3,07/11/2010,,,,
15261,52.15,2,15/11/2010,,,,
15262,19.80,1,29/07/2010,,,,
15264,14.98,1,28/04/2010,,,,
15265,68.46,1,06/12/2010,,,,
15270,321.45,5,21/09/2010,,,,
15271,15.35,3,24/09/2010,,,,
15272,40.21,3,08/11/2010,,,,
15276,4.25,1,27/09/2010,,,,
15277,15.00,1,17/06/2010,,,,
15280,7.95,1,29/11/2010,,,,
15281,70.80,2,23/11/2010,,,,
15282,10.75,1,17/11/2010,,,,
15285,7.80,1,03/10/2010,,,,
15287,17.70,1,15/07/2010,,,,
15288,2.40,2,13/10/2010,,,,
15289,53.76,1,10/08/2010,,,,
15290,43.80,2,04/11/2010,,,,
15291,127.00,2,05/11/2010,,,,
15295,4.95,1,12/10/2010,,,,
15296,119.00,3,06/12/2010,,,,
15298,8.50,1,04/05/2010,,,,
15299,303.96,1,26/10/2010,,,,
15301,41.80,2,26/11/2010,,,,
15303,23.40,2,15/11/2010,,,,
15306,110.10,2,16/09/2010,,,,
15309,16.45,3,29/11/2010,,,,
15310,30.00,1,26/03/2010,,,,
15311,989.20,31,09/12/2010,,,,
15321,88.90,3,06/12/2010,,,,
15322,15.60,1,12/09/2010,,,,
15325,69.38,4,24/11/2010,,,,
15326,-3.90,3,30/07/2010,,,,
15328,17.00,1,01/12/2009,,,,
15329,117.23,5,10/11/2010,,,,
15332,88.35,1,20/10/2010,,,,
15337,17.00,1,22/12/2009,,,,
15339,34.94,3,31/08/2010,,,,
15346,22.50,1,29/06/2010,,,,
15350,25.20,1,24/10/2010,,,,
15351,97.98,4,03/10/2010,,,,
15352,9.75,1,07/12/2010,,,,
15353,36.90,4,28/11/2010,,,,
15356,12.04,3,23/07/2010,,,,
15358,255.83,10,06/12/2010,,,,
15365,13.60,1,08/12/2010,,,,
15366,49.80,2,04/05/2010,,,,
15367,79.20,3,05/12/2010,,,,
15369,196.60,2,03/10/2010,,,,
15372,102.00,1,09/09/2010,,,,
15373,4.15,1,31/01/2010,,,,
15379,10.50,1,07/03/2010,,,,
15382,119.50,4,08/11/2010,,,,
15384,25.80,2,03/11/2010,,,,
15387,20.40,1,20/10/2010,,,,
15392,17.70,1,17/10/2010,,,,
15394,52.50,2,01/11/2010,,,,
15402,64.52,3,08/11/2010,,,,
15418,15.02,1,06/10/2010,,,,
15421,61.86,4,24/11/2010,,,,
15422,29.75,1,10/11/2010,,,,
15425,72.95,3,11/11/2010,,,,
15426,20.01,3,29/11/2010,,,,
15428,35.40,1,10/08/2010,,,,
15430,-1.65,1,14/04/2010,,,,
15431,122.04,1,20/04/2010,,,,
15434,50.40,1,12/03/2010,,,,
15437,12.50,1,17/05/2010,,,,
15441,30.00,1,10/01/2010,,,,
15443,38.65,2,19/11/2010,,,,
15446,10.90,2,08/12/2010,,,,
15452,35.64,2,03/11/2010,,,,
15456,60.70,3,15/11/2010,,,,
15462,35.10,1,03/03/2010,,,,
15465,26.95,2,06/04/2010,,,,
15466,41.05,3,19/09/2010,,,,
15468,15.00,1,19/09/2010,,,,
15469,17.85,1,21/06/2010,,,,
15471,3.72,1,03/09/2010,,,,
15476,108.60,1,24/11/2010,,,,
15479,15.00,1,07/10/2010,,,,
15480,135.54,2,11/11/2010,,,,
15483,23.90,3,23/11/2010,,,,
15484,30.00,1,31/10/2010,,,,
15493,71.76,4,23/11/2010,,,,
15494,41.50,2,24/10/2010,,,,
15495,5.90,1,31/08/2010,,,,
15496,15.80,1,01/12/2009,,,,
15498,460.64,7,06/10/2010,,,,
15499,6.25,1,20/10/2010,,,,
15501,6.60,1,05/10/2010,,,,
15502,90.40,3,19/11/2010,,,,
15506,11.73,3,24/10/2010,,,,
15513,47.21,2,09/12/2010,,,,
15514,79.97,4,12/11/2010,,,,
15518,46.89,4,03/12/2010,,,,
15523,356.70,4,22/10/2010,,,,
15525,10.65,2,16/06/2010,,,,
15527,16.32,4,07/12/2010,,,,
15529,31.29,1,19/11/2010,,,,
15530,23.95,1,12/11/2010,,,,
15532,13.70,3,16/11/2010,,,,
15535,20.10,2,12/11/2010,,,,
15536,10.20,1,13/04/2010,,,,
15538,88.50,1,15/07/2010,,,,
15540,10.20,1,15/12/2009,,,,
15542,13.14,3,13/10/2010,,,,
15544,103.10,6,15/11/2010,,,,
15547,68.88,6,24/09/2010,,,,
15549,8.40,1,09/12/2010,,,,
15550,17.40,2,11/02/2010,,,,
15551,5.60,1,30/11/2010,,,,
15555,44.85,11,09/12/2010,,,,
15559,49.95,1,01/11/2010,,,,
15563,58.60,3,10/11/2010,,,,
15569,1.70,1,05/12/2010,,,,
15570,22.27,2,05/10/2010,,,,
15571,7.10,3,18/01/2010,,,,
15572,71.70,3,12/11/2010,,,,
15573,5.90,3,14/10/2010,,,,
15574,34.20,1,18/11/2010,,,,
15579,17.20,2,11/08/2010,,,,
15580,15.60,4,18/11/2010,,,,
15581,44.24,6,09/12/2010,,,,
15583,2.95,1,09/11/2010,,,,
15590,79.10,3,21/11/2010,,,,
15591,11.90,1,29/03/2010,,,,
15596,57.40,2,23/11/2010,,,,
15599,42.78,1,25/08/2010,,,,
15600,34.35,2,26/10/2010,,,,
15601,152.61,7,06/12/2010,,,,
15602,143.40,2,05/07/2010,,,,
15606,82.85,2,14/09/2010,,,,
15607,5.04,1,12/02/2010,,,,
15614,25.20,1,12/10/2010,,,,
15615,117.00,6,23/11/2010,,,,
15616,30.00,1,23/06/2010,,,,
15620,15.90,1,05/01/2010,,,,
15622,36.50,2,29/11/2010,,,,
15623,52.40,2,25/11/2010,,,,
15625,71.04,3,06/12/2010,,,,
15627,15.00,1,21/04/2010,,,,
15628,40.20,1,15/06/2010,,,,
15629,30.00,1,09/11/2010,,,,
15630,10.20,1,09/06/2010,,,,
15633,120.19,6,23/11/2010,,,,
15638,90.00,1,30/09/2010,,,,
15639,29.50,2,14/09/2010,,,,
15640,129.00,3,15/07/2010,,,,
15641,10.50,1,04/05/2010,,,,
15642,18.24,1,14/06/2010,,,,
15645,5.28,2,28/11/2010,,,,
15647,25.20,1,13/10/2010,,,,
15652,10.63,2,14/11/2010,,,,
15660,15.00,1,06/05/2010,,,,
15664,20.30,2,31/03/2010,,,,
