,,,,,,,
Customer_Segment,AVERAGE of SUM of total_line_value,AVERAGE of M_Score,COUNTA of customer_id,SUM of SUM of total_line_value,,,
15351,-3.75,2,12/05/10,,,,
15353,50.40,1,12/07/10,,,,
15356,27.98,3,11/08/11,,,,
15358,135.48,5,09/12/11,,,,
15363,39.60,1,12/02/10,,,,
15367,30.90,2,03/09/11,,,,
15374,91.80,1,08/03/11,,,,
15379,36.26,3,03/09/11,,,,
15380,60.00,1,12/01/11,,,,
15382,41.60,1,06/08/11,,,,
15384,-1.70,1,12/02/10,,,,
15392,25.20,1,11/09/11,,,,
15406,22.35,2,02/11/11,,,,
15407,15.00,3,02/07/11,,,,
15416,18.00,1,03/02/11,,,,
15426,19.85,1,12/05/10,,,,
15427,10.10,2,11/06/11,,,,
15434,76.20,2,11/08/11,,,,
15443,20.65,1,12/08/11,,,,
15452,25.20,1,11/10/11,,,,
15453,24.60,2,09/08/11,,,,
15454,7.50,1,12/12/10,,,,
15456,12.85,2,03/01/11,,,,
15465,175.20,1,07/03/11,,,,
15467,3.40,1,07/10/11,,,,
15469,33.00,1,08/11/11,,,,
15471,3.75,1,12/07/11,,,,
15482,357.60,1,11/03/11,,,,
15483,0.19,1,07/01/11,,,,
15485,5.04,1,11/09/11,,,,
15489,19.50,1,05/12/11,,,,
15491,14.75,1,05/05/11,,,,
15493,4.95,1,11/07/11,,,,
15494,37.36,1,08/10/11,,,,
15498,302.34,3,08/11/11,,,,
15502,39.85,4,03/09/11,,,,
15503,1.27,1,12/12/10,,,,
15508,4.15,1,06/03/11,,,,
15511,3.30,1,11/01/11,,,,
15513,113.68,2,05/12/11,,,,
15514,31.92,3,11/06/11,,,,
15518,30.00,3,01/11/11,,,,
15521,2.55,1,05/11/11,,,,
15525,32.50,1,12/07/11,,,,
15527,1.45,1,09/11/11,,,,
15529,23.00,1,03/09/11,,,,
15531,85.32,2,11/09/11,,,,
15533,15.90,1,09/11/11,,,,
15539,2.10,1,12/02/11,,,,
15544,10.00,1,05/12/11,,,,
15545,2.55,1,12/03/10,,,,
15547,53.91,3,12/02/11,,,,
15553,10.49,1,10/10/11,,,,
15555,53.87,5,11/09/11,,,,
15568,31.50,1,12/07/11,,,,
15570,61.40,2,11/03/11,,,,
15572,32.02,1,04/05/11,,,,
15574,8.64,1,12/02/10,,,,
15576,239.04,1,11/02/11,,,,
15577,5.45,1,07/11/11,,,,
15581,1.25,1,07/06/11,,,,
15582,17.70,1,05/03/11,,,,
15589,14.85,1,02/02/11,,,,
15594,17.34,1,09/07/11,,,,
15601,84.10,3,08/09/11,,,,
15605,29.88,1,04/01/11,,,,
15607,2.28,1,01/07/11,,,,
15608,15.12,1,11/11/11,,,,
15615,101.40,1,08/10/11,,,,
15618,17.40,1,11/07/11,,,,
15622,-5.75,1,06/02/11,,,,
15628,25.86,2,06/10/11,,,,
15632,17.00,1,03/10/11,,,,
15636,71.60,1,03/02/11,,,,
15640,130.70,4,06/07/11,,,,
15641,21.00,1,03/02/11,,,,
15652,30.00,1,09/09/11,,,,
15655,15.00,1,04/10/11,,,,
15665,34.80,1,04/10/11,,,,
15673,56.40,2,09/12/11,,,,
15676,94.49,2,11/04/11,,,,
15680,17.70,1,12/08/10,,,,
15687,51.65,2,10/05/11,,,,
15692,10.20,1,11/11/11,,,,
15694,100.80,1,06/05/11,,,,
15696,20.05,2,11/06/11,,,,
15701,23.98,2,12/07/11,,,,
15704,22.50,2,05/08/11,,,,
15707,6.20,1,10/06/11,,,,
15708,34.35,2,01/09/11,,,,
15716,26.55,1,12/05/10,,,,
15719,90.90,9,11/07/11,,,,
15722,15.00,1,06/05/11,,,,
15727,15.00,1,04/05/11,,,,
15729,32.00,1,05/11/11,,,,
15732,17.70,1,05/11/11,,,,
15737,17.70,1,04/11/11,,,,
15738,25.20,1,12/02/10,,,,
15745,17.85,1,11/06/11,,,,
15750,13.34,2,11/02/11,,,,
15752,30.29,3,09/07/11,,,,
15755,9.36,1,09/12/11,,,,
15756,11.69,3,07/10/11,,,,
15757,12.50,1,10/05/11,,,,
15763,17.85,1,11/08/11,,,,
15764,38.10,1,03/08/11,,,,
15785,10.50,1,11/07/11,,,,
15787,29.19,1,10/09/11,,,,
15796,31.20,1,02/10/11,,,,
15799,30.45,2,01/09/11,,,,
15801,23.40,1,10/10/11,,,,
15804,52.76,2,10/06/11,,,,
15805,15.90,1,11/08/11,,,,
15808,48.40,2,02/06/11,,,,
15819,12.60,1,03/08/11,,,,
15829,34.80,1,09/01/11,,,,
15831,16.68,1,10/12/11,,,,
15834,168.55,2,03/07/11,,,,
15837,22.40,1,10/06/11,,,,
15838,"2,042.10",4,08/10/11,,,,
15839,24.96,1,11/06/11,,,,
15854,3.34,1,12/05/11,,,,
15856,83.24,3,12/05/11,,,,
15860,3.35,1,12/06/10,,,,
15862,11.35,2,12/01/11,,,,
15865,17.34,1,09/12/11,,,,
15867,14.40,2,04/11/11,,,,
15870,17.37,1,11/07/11,,,,
15874,-3.75,1,10/07/11,,,,
15877,4.15,1,12/08/11,,,,
15880,9.65,1,12/05/10,,,,
15889,1.26,1,12/05/10,,,,
15901,3.75,1,07/08/11,,,,
15904,2.08,1,12/01/11,,,,
15906,18.60,2,05/04/11,,,,
15907,5.46,1,12/06/11,,,,
15910,3.19,1,09/01/11,,,,
15916,12.48,1,11/09/11,,,,
15920,1.70,1,07/08/11,,,,
15922,30.00,1,12/01/10,,,,
15937,33.60,1,10/06/11,,,,
15938,30.00,1,04/05/11,,,,
15945,167.40,1,12/09/10,,,,
15951,62.45,1,12/01/11,,,,
15952,10.14,1,10/02/11,,,,
15953,20.40,1,03/01/11,,,,
15955,15.00,1,04/10/11,,,,
15957,7.60,1,11/08/11,,,,
15965,1.25,1,11/11/11,,,,
15969,17.70,1,06/07/11,,,,
15970,12.60,1,02/09/11,,,,
15974,87.15,2,05/12/11,,,,
15984,1.58,1,12/05/11,,,,
15993,3.79,1,11/06/11,,,,
15998,36.64,2,11/03/11,,,,
16007,10.06,2,06/12/11,,,,
16009,29.10,2,11/07/11,,,,
16010,13.05,1,04/03/11,,,,
16011,14.85,1,09/01/11,,,,
16013,529.50,3,08/12/11,,,,
16014,2.10,1,07/10/11,,,,
16015,2.60,1,12/06/11,,,,
16016,18.25,2,11/03/11,,,,
16019,175.20,1,01/07/11,,,,
16020,9.96,1,10/05/11,,,,
16029,"1,369.94",4,10/11/11,,,,
16030,13.45,1,02/03/11,,,,
16031,20.10,2,09/08/11,,,,
16033,50.17,7,07/11/11,,,,
16034,23.60,1,01/11/11,,,,
16053,60.50,2,08/09/11,,,,
16066,21.00,1,11/08/11,,,,
16076,17.00,1,08/11/11,,,,
16081,15.55,1,12/08/10,,,,
16094,17.40,1,11/10/11,,,,
16102,43.68,2,08/03/11,,,,
16103,12.50,1,06/06/11,,,,
16105,25.20,1,04/05/11,,,,
16106,17.40,1,10/05/11,,,,
16109,23.40,1,05/05/11,,,,
16110,1.30,1,02/01/11,,,,
16115,29.36,2,06/12/11,,,,
16116,39.80,1,05/12/11,,,,
16121,0.84,1,05/08/11,,,,
16126,138.72,1,11/10/11,,,,
16128,60.30,1,03/02/11,,,,
16133,24.96,2,06/07/11,,,,
16136,43.10,2,10/11/11,,,,
16140,10.20,1,10/05/11,,,,
16142,60.70,1,04/04/11,,,,
16145,34.00,2,01/05/11,,,,
16150,75.80,2,09/12/11,,,,
16161,28.90,4,10/11/11,,,,
16169,53.25,1,11/10/11,,,,
16170,30.60,1,06/09/11,,,,
16172,23.40,1,04/12/11,,,,
16173,20.28,1,09/02/11,,,,
16175,12.60,1,09/06/11,,,,
16180,52.50,2,08/04/11,,,,
16183,15.00,1,10/03/11,,,,
16186,61.38,2,10/04/11,,,,
16187,70.80,1,09/01/11,,,,
16191,10.50,1,12/07/11,,,,
16200,6.69,1,12/05/11,,,,
16201,20.80,1,12/06/11,,,,
16203,25.50,1,12/02/10,,,,
16205,10.20,1,10/03/11,,,,
16210,15.00,1,12/06/10,,,,
16212,15.90,1,03/01/11,,,,
16218,-1.45,1,06/07/11,,,,
16221,40.35,3,03/09/11,,,,
16225,1.70,1,03/07/11,,,,
16232,20.40,1,05/08/11,,,,
16241,41.58,7,10/12/11,,,,
16242,36.39,3,11/07/11,,,,
16252,-6.80,1,12/08/10,,,,
16253,18.24,1,10/04/11,,,,
16255,26.30,2,02/07/11,,,,
16258,39.60,1,08/04/11,,,,
16265,54.51,2,02/08/11,,,,
16274,11.79,1,12/01/10,,,,
16283,67.40,3,08/11/11,,,,
16284,0.65,1,11/08/11,,,,
16293,13.05,1,12/07/10,,,,
16295,18.72,1,10/12/11,,,,
16303,40.20,1,01/10/11,,,,
16317,19.80,1,07/01/11,,,,
16318,12.60,1,11/04/11,,,,
16320,25.80,1,05/10/11,,,,
16322,5.80,1,11/03/11,,,,
16324,0.65,1,08/03/11,,,,
16326,46.92,4,10/09/11,,,,
16327,3.40,1,12/05/10,,,,
16332,17.15,2,10/09/11,,,,
16347,21.94,1,11/03/11,,,,
16352,24.96,1,11/02/11,,,,
16353,61.20,1,05/06/11,,,,
16357,17.34,1,11/06/11,,,,
16358,-2.55,1,06/10/11,,,,
16359,11.80,1,04/10/11,,,,
16360,49.50,3,12/05/11,,,,
16362,3.75,1,09/09/11,,,,
16367,40.45,1,11/02/11,,,,
16370,16.50,1,06/10/11,,,,
16372,3.75,1,11/06/11,,,,
16374,5.20,1,10/04/11,,,,
16385,77.77,2,10/10/11,,,,
16386,9.57,1,11/11/11,,,,
16393,2.75,1,06/07/11,,,,
16402,16.20,1,12/05/10,,,,
16409,9.10,2,07/12/11,,,,
16418,10.48,1,09/08/11,,,,
16422,351.00,2,06/07/11,,,,
16426,19.55,5,09/08/11,,,,
16431,3.75,1,05/10/11,,,,
16432,16.50,1,10/06/11,,,,
16433,6.76,1,11/11/11,,,,
16434,8.70,1,11/10/11,,,,
16440,48.30,2,11/10/11,,,,
16442,1.45,1,12/08/11,,,,
16445,6.70,1,11/06/11,,,,
16455,35.40,2,09/06/11,,,,
16458,29.30,2,09/12/11,,,,
16473,9.95,1,01/07/11,,,,
16474,20.75,2,09/11/11,,,,
16475,34.80,1,03/11/11,,,,
16477,32.30,2,05/09/11,,,,
16495,13.13,1,12/06/11,,,,
16496,19.80,1,12/01/11,,,,
16515,0.85,1,02/01/11,,,,
16518,23.60,1,10/09/11,,,,
16520,15.30,2,06/06/11,,,,
16523,-41.60,1,12/06/11,,,,
16525,15.00,1,01/12/11,,,,
16531,17.70,1,08/04/11,,,,
16533,2.95,1,10/02/11,,,,
16535,54.62,1,12/04/11,,,,
16549,38.12,4,09/11/11,,,,
16551,29.70,1,01/07/11,,,,
16553,20.16,1,03/10/11,,,,
16558,148.98,4,03/11/11,,,,
16561,44.60,2,10/11/11,,,,
16570,30.00,1,08/04/11,,,,
16572,17.70,1,03/09/11,,,,
16583,15.00,1,12/01/10,,,,
16584,-7.65,1,04/07/11,,,,
16595,7.01,1,10/09/11,,,,
16597,20.52,1,12/05/11,,,,
16607,23.10,2,10/12/11,,,,
16609,15.00,1,05/03/11,,,,
16612,49.10,3,08/12/11,,,,
16625,15.30,1,03/10/11,,,,
16626,15.00,1,11/08/11,,,,
16628,10.08,1,05/05/11,,,,
16637,9.48,1,08/08/11,,,,
16639,87.30,1,11/08/11,,,,
16644,19.50,1,05/11/11,,,,
16652,15.00,1,03/11/11,,,,
16655,52.40,1,01/12/11,,,,
16667,29.75,1,10/02/11,,,,
16670,39.90,2,01/11/11,,,,
16672,170.00,2,11/04/11,,,,
16676,49.74,2,05/10/11,,,,
16678,60.60,3,08/12/11,,,,
16682,10.08,1,12/05/11,,,,
16684,433.50,2,12/05/11,,,,
16686,40.64,2,02/07/11,,,,
16700,21.00,1,05/05/11,,,,
16701,22.50,1,07/11/11,,,,
16706,8.31,2,11/02/11,,,,
16710,29.50,2,05/10/11,,,,
16712,1.25,1,03/08/11,,,,
16713,60.20,4,02/08/11,,,,
16717,10.08,1,09/05/11,,,,
16718,18.90,1,12/05/10,,,,
16722,36.12,2,07/06/11,,,,
16725,8.50,1,02/04/11,,,,
16729,49.47,3,05/06/11,,,,
16732,22.50,1,11/08/11,,,,
16735,-8.25,1,09/07/11,,,,
16745,83.67,3,06/09/11,,,,
16746,85.50,3,08/12/11,,,,
16747,45.00,2,10/03/11,,,,
16748,40.30,2,01/09/11,,,,
16764,26.42,2,11/08/11,,,,
16766,30.60,1,03/11/11,,,,
16767,5.04,1,05/04/11,,,,
16771,12.45,1,03/09/11,,,,
16774,15.30,1,10/03/11,,,,
16776,2.07,1,10/10/11,,,,
16779,25.80,2,12/07/11,,,,
16782,11.25,1,12/09/10,,,,
16788,4.77,1,08/08/11,,,,
16791,30.61,5,01/11/11,,,,
16794,16.45,1,06/12/11,,,,
16801,12.75,1,03/11/11,,,,
16803,17.40,1,10/05/11,,,,
16814,7.50,1,02/03/11,,,,
16818,74.76,2,09/07/11,,,,
16820,15.30,1,09/05/11,,,,
16825,100.80,1,11/01/11,,,,
16833,15.00,1,01/09/11,,,,
16837,124.70,2,10/11/11,,,,
16838,-5.95,1,03/07/11,,,,
16839,226.75,3,08/10/11,,,,
16841,45.94,2,05/10/11,,,,
16843,83.92,2,10/05/11,,,,
16851,20.16,1,12/05/11,,,,
16863,28.05,2,11/08/11,,,,
16873,174.10,5,10/09/11,,,,
16875,10.08,1,10/03/11,,,,
16880,97.33,3,11/09/11,,,,
16882,6.96,1,10/04/11,,,,
16883,7.50,1,12/03/10,,,,
16884,43.00,2,11/02/11,,,,
16887,12.15,1,11/04/11,,,,
16889,10.05,2,04/10/11,,,,
16891,8.83,3,12/08/11,,,,
16892,2.10,1,11/10/11,,,,
16900,12.45,1,10/07/11,,,,
16903,22.06,1,11/10/11,,,,
16904,31.14,3,11/10/11,,,,
16907,1.95,1,12/09/10,,,,
16910,2.90,2,09/09/11,,,,
16912,14.94,1,10/03/11,,,,
16914,2.50,1,11/03/11,,,,
16915,14.95,1,04/05/11,,,,
16916,4.23,1,12/02/10,,,,
16919,23.85,1,04/05/11,,,,
16923,135.27,5,07/10/11,,,,
16926,15.90,1,12/03/10,,,,
16928,0.84,1,08/11/11,,,,
16931,8.40,1,07/03/11,,,,
16938,17.70,1,12/01/11,,,,
16942,21.16,2,05/04/11,,,,
16945,36.80,2,03/09/11,,,,
16949,14.76,2,12/06/11,,,,
16950,31.80,1,08/07/11,,,,
16951,6.30,1,02/08/11,,,,
16955,32.70,2,06/08/11,,,,
16960,5.90,1,04/01/11,,,,
16971,9.95,1,11/01/11,,,,
16983,8.88,1,09/04/11,,,,
16984,23.81,2,09/12/11,,,,
16985,67.50,1,05/12/11,,,,
16987,24.75,1,12/06/11,,,,
17004,54.35,1,09/08/11,,,,
17007,17.00,1,07/07/11,,,,
17015,2.92,1,06/07/11,,,,
17017,19.80,1,12/07/11,,,,
17031,20.80,1,07/08/11,,,,
17042,7.80,1,04/06/11,,,,
17043,20.28,1,11/07/11,,,,
17045,6.25,1,07/06/11,,,,
17046,15.90,1,07/05/11,,,,
17049,84.30,3,05/09/11,,,,
17050,35.45,2,09/04/11,,,,
17052,4.60,1,11/11/11,,,,
17054,15.60,1,04/08/11,,,,
17059,30.83,2,11/10/11,,,,
17064,14.85,1,06/10/11,,,,
17068,42.25,3,09/06/11,,,,
17069,74.30,2,11/11/11,,,,
17071,105.26,3,11/11/11,,,,
17078,6.96,1,11/03/11,,,,
17084,13.50,1,11/04/11,,,,
17085,3.36,1,08/08/11,,,,
17086,40.30,2,10/07/11,,,,
17088,19.90,1,11/11/11,,,,
17090,53.10,2,09/12/11,,,,
17091,54.66,2,12/07/11,,,,
17096,24.96,1,10/12/11,,,,
17097,32.45,2,12/07/11,,,,
17105,5.10,1,07/03/11,,,,
17107,37.85,3,11/07/11,,,,
17115,13.00,1,06/10/11,,,,
17126,7.05,3,07/10/11,,,,
17128,10.20,1,01/09/11,,,,
17133,399.60,1,11/06/11,,,,
17135,7.50,1,11/02/11,,,,
17139,94.06,4,09/12/11,,,,
17160,46.50,2,04/12/11,,,,
17164,17.40,1,07/11/11,,,,
17173,100.08,2,10/12/11,,,,
17174,10.50,1,05/06/11,,,,
17188,185.20,1,12/12/10,,,,
17191,33.00,4,11/11/11,,,,
17198,1.45,1,12/03/10,,,,
17203,20.15,1,11/04/11,,,,
17214,8.50,1,04/04/11,,,,
17218,61.34,3,12/05/11,,,,
17219,4.98,1,11/08/11,,,,
17220,13.90,2,08/05/11,,,,
17221,5.78,1,12/02/11,,,,
17222,11.55,1,10/05/11,,,,
17223,9.90,1,02/02/11,,,,
17228,4.20,1,12/02/10,,,,
17229,1.65,1,09/04/11,,,,
17231,20.40,2,10/06/11,,,,
17238,31.64,4,11/11/11,,,,
17243,53.30,2,09/08/11,,,,
17248,0.85,1,08/11/11,,,,
17252,1.95,1,06/06/11,,,,
17254,1.65,1,12/05/11,,,,
17265,9.28,1,06/12/11,,,,
17266,2.90,1,12/07/11,,,,
17267,7.95,1,08/04/11,,,,
17284,22.73,2,08/11/11,,,,
17287,15.24,1,04/01/11,,,,
17289,7.28,4,06/12/11,,,,
17290,4.68,1,12/06/11,,,,
17293,47.90,2,08/12/11,,,,
17295,2.95,1,10/06/11,,,,
17299,3.30,1,09/11/11,,,,
17306,151.20,1,03/08/11,,,,
17309,10.20,1,09/05/11,,,,
17312,17.70,1,07/03/11,,,,
17314,21.96,1,11/11/11,,,,
17315,71.46,3,05/12/11,,,,
17321,9.95,1,10/03/11,,,,
17325,12.50,1,03/04/11,,,,
17337,40.87,3,05/12/11,,,,
17338,58.75,2,01/12/11,,,,
17340,264.65,4,08/11/11,,,,
17341,2.37,1,07/06/11,,,,
17348,0.85,1,11/04/11,,,,
17356,3.40,1,02/01/11,,,,
17364,12.09,2,11/11/11,,,,
17365,7.80,1,01/11/11,,,,
17368,1.65,1,11/07/11,,,,
17372,9.35,2,04/10/11,,,,
17377,13.91,3,02/10/11,,,,
17386,1.90,1,12/02/11,,,,
17389,112.50,1,11/10/11,,,,
17396,339.00,1,10/03/11,,,,
17400,9.90,1,08/05/11,,,,
17404,-238.00,1,12/05/11,,,,
17405,10.08,1,07/12/11,,,,
17412,15.00,1,12/07/11,,,,
17416,144.50,2,11/10/11,,,,
17419,48.60,1,10/06/11,,,,
17422,60.00,1,09/07/11,,,,
17423,102.00,1,05/06/11,,,,
17426,35.40,1,12/01/11,,,,
17428,-0.05,2,07/06/11,,,,
17429,6.14,3,08/11/11,,,,
17433,4.95,1,09/12/11,,,,
17442,45.90,2,08/10/11,,,,
17444,54.00,1,07/11/11,,,,
17449,24.90,2,12/07/11,,,,
17450,8.94,1,01/11/11,,,,
17453,9.90,1,10/06/11,,,,
17456,10.20,1,12/09/10,,,,
17464,113.16,1,07/04/11,,,,
17469,20.80,1,07/05/11,,,,
17470,9.96,1,04/05/11,,,,
17481,17.16,2,12/06/11,,,,
17491,15.90,1,11/03/11,,,,
17502,45.00,1,11/10/11,,,,
17507,13.75,1,02/03/11,,,,
17509,143.70,6,10/07/11,,,,
17511,277.98,7,04/12/11,,,,
17514,6.80,1,08/03/11,,,,
17521,15.24,2,11/10/11,,,,
17522,0.65,1,06/09/11,,,,
17528,20.09,3,11/10/11,,,,
17530,6.55,1,12/09/10,,,,
17537,17.70,1,02/09/11,,,,
17555,8.85,1,01/09/11,,,,
17566,48.48,1,12/01/11,,,,
17567,27.75,2,03/03/11,,,,
17569,16.15,1,01/11/11,,,,
17576,76.09,6,07/12/11,,,,
17581,16.50,1,12/09/11,,,,
17584,29.70,1,12/02/11,,,,
17589,15.90,2,07/11/11,,,,
17591,3.40,1,12/07/10,,,,
17593,4.68,1,12/06/11,,,,
17595,11.70,1,11/02/11,,,,
17596,60.03,3,10/07/11,,,,
17602,7.90,1,12/07/11,,,,
17604,14.60,1,05/06/11,,,,
17608,1.56,1,11/06/11,,,,
17611,18.78,1,07/07/11,,,,
17612,26.40,1,05/09/11,,,,
17613,10.20,1,02/07/11,,,,
17618,30.00,1,04/05/11,,,,
17629,38.44,2,12/04/11,,,,
17634,13.05,3,05/09/11,,,,
17644,16.50,1,11/03/11,,,,
17646,14.85,1,05/04/11,,,,
17651,47.56,3,11/08/11,,,,
17652,55.35,2,10/03/11,,,,
17654,8.85,1,03/07/11,,,,
17667,19.90,1,05/12/11,,,,
17668,32.85,1,12/08/11,,,,
17671,39.60,2,07/05/11,,,,
17672,10.50,1,02/03/11,,,,
17673,8.80,2,12/08/11,,,,
17675,130.15,5,06/05/11,,,,
17676,42.36,2,10/12/11,,,,
17677,20.28,1,11/04/11,,,,
17685,80.70,2,09/12/11,,,,
17686,105.70,2,02/10/11,,,,
17690,17.00,1,06/05/11,,,,
17696,6.30,1,11/01/11,,,,
17700,14.55,2,03/03/11,,,,
17701,16.50,1,04/01/11,,,,
17703,17.70,1,11/04/11,,,,
17705,15.00,1,02/11/11,,,,
17706,87.00,2,10/10/11,,,,
17716,44.85,3,08/08/11,,,,
17719,33.40,2,07/06/11,,,,
17725,11.90,1,04/04/11,,,,
17728,10.08,1,10/05/11,,,,
17730,55.62,2,08/09/11,,,,
17731,73.50,2,06/09/11,,,,
17733,31.80,1,11/01/11,,,,
17735,156.98,5,12/07/11,,,,
17738,15.30,1,03/02/11,,,,
17744,18.24,1,12/06/11,,,,
17750,0.39,1,12/04/11,,,,
17757,47.60,7,02/09/11,,,,
17758,3.40,1,04/03/11,,,,
17768,75.75,2,11/06/11,,,,
17769,35.70,1,11/06/11,,,,
17770,14.85,1,03/02/11,,,,
17774,3.75,1,04/04/11,,,,
17787,20.40,1,02/08/11,,,,
17790,8.85,1,08/11/11,,,,
17799,8.32,1,09/01/11,,,,
17800,21.00,1,07/03/11,,,,
17802,6.85,2,06/12/11,,,,
17811,39.61,2,01/10/11,,,,
17813,18.70,2,10/06/11,,,,
17819,122.40,1,12/03/10,,,,
17827,34.56,1,04/11/11,,,,
17837,3.80,1,10/05/11,,,,
17838,60.60,2,09/11/11,,,,
17841,345.91,30,10/12/11,,,,
17843,3.95,1,02/09/11,,,,
17850,106.26,5,12/02/10,,,,
17855,16.50,1,12/02/10,,,,
17858,28.37,2,12/04/11,,,,
17859,0.21,1,02/08/11,,,,
17861,13.85,2,12/06/11,,,,
17863,44.82,1,10/11/11,,,,
17864,2.65,1,09/11/11,,,,
17865,75.60,2,07/01/11,,,,
17867,5.10,1,11/09/11,,,,
17870,5.00,1,11/08/11,,,,
17873,81.60,2,03/03/11,,,,
17881,5.95,1,02/08/11,,,,
17883,8.00,1,04/07/11,,,,
17884,57.67,2,02/01/11,,,,
17886,18.24,2,11/08/11,,,,
17888,8.50,1,07/01/11,,,,
17897,1.25,1,12/01/10,,,,
17901,2.89,1,11/10/11,,,,
17908,9.45,1,12/01/10,,,,
17914,19.29,1,12/06/11,,,,
17917,5.90,1,12/12/10,,,,
17920,22.44,5,11/06/11,,,,
17921,9.90,1,10/06/11,,,,
17924,-8.32,1,12/08/11,,,,
17932,18.00,2,05/12/11,,,,
17936,1.65,1,12/04/11,,,,
17939,1.90,1,07/03/11,,,,
17940,"-1,813.86",2,04/08/11,,,,
17954,16.02,3,08/08/11,,,,
17955,41.25,1,05/04/11,,,,
17961,19.90,1,06/12/11,,,,
17965,26.44,4,09/09/11,,,,
17967,2.55,1,12/03/10,,,,
17968,9.20,1,12/01/10,,,,
17972,2.10,1,04/12/11,,,,
17974,2.95,1,05/04/11,,,,
17975,12.95,3,10/07/11,,,,
17976,11.65,1,12/02/10,,,,
17979,5.90,1,11/04/11,,,,
17994,10.50,1,06/03/11,,,,
17995,52.50,1,03/03/11,,,,
17997,5.80,1,09/08/11,,,,
18004,1.95,1,12/12/10,,,,
18011,5.10,1,12/01/10,,,,
18013,3.75,1,07/07/11,,,,
18015,6.79,1,12/05/11,,,,
18016,10.35,1,06/06/11,,,,
18022,18.67,1,11/04/11,,,,
18024,2.55,1,07/10/11,,,,
18035,62.50,1,11/04/11,,,,
18041,75.81,6,05/10/11,,,,
18043,3.75,1,12/08/10,,,,
18055,17.85,1,12/07/10,,,,
18062,17.70,1,05/03/11,,,,
18069,19.52,1,09/12/11,,,,
18072,27.84,2,07/07/11,,,,
18077,28.20,3,08/11/11,,,,
18081,30.00,1,11/03/11,,,,
18087,-30.60,1,02/11/11,,,,
18092,180.00,1,11/01/11,,,,
18093,39.60,1,02/10/11,,,,
18095,15.60,1,01/11/11,,,,
18096,14.03,1,10/07/11,,,,
18102,"6,669.96",6,06/09/11,,,,
18109,251.95,4,11/09/11,,,,
18116,3.95,1,10/03/11,,,,
18118,17.49,4,11/11/11,,,,
18119,1.65,1,12/07/10,,,,
18122,5.90,1,11/04/11,,,,
18126,30.00,1,10/10/11,,,,
18154,10.20,1,12/06/11,,,,
18156,1.25,1,12/05/10,,,,
18161,20.40,1,10/06/11,,,,
18164,16.50,1,11/02/11,,,,
18171,15.00,1,01/10/11,,,,
18172,15.60,1,11/09/11,,,,
18178,20.80,1,08/03/11,,,,
18179,13.20,1,01/07/11,,,,
18180,14.04,1,10/11/11,,,,
18183,-3.95,1,05/05/11,,,,
18185,26.70,1,04/04/11,,,,
18194,-51.84,1,10/06/11,,,,
18196,2.50,1,09/05/11,,,,
18202,31.60,1,02/01/11,,,,
18203,4.95,1,07/05/11,,,,
18209,17.85,1,11/11/11,,,,
18216,6.80,1,11/08/11,,,,
18217,15.60,1,11/10/11,,,,
18219,48.70,2,05/09/11,,,,
18221,27.75,1,05/12/11,,,,
18223,50.16,1,12/05/11,,,,
18226,55.60,2,06/07/11,,,,
18227,15.00,1,05/06/11,,,,
18230,90.48,2,02/10/11,,,,
18235,13.20,1,05/06/11,,,,
18236,17.40,1,08/02/11,,,,
18237,9.90,1,10/05/11,,,,
18239,13.50,1,12/02/10,,,,
18245,5.04,1,05/12/11,,,,
18248,14.85,1,06/06/11,,,,
18270,53.20,1,11/01/11,,,,
18272,36.90,1,12/07/11,,,,
18283,11.85,2,11/10/11,,,,
,,,,,,,
,,,,,,,
,,,,,,,
product_name,SUM of quantity,,,,,,
BLUE POLKADOT WRAP,-200,,,,,,
TEA PARTY BIRTHDAY CARD,-144,,,,,,
LUNCH BAG SUKI DESIGN,-100,,,,,,
ASSORTED TUTTI FRUTTI PEN,-72,,,,,,
CARD CHRISTMAS VILLAGE,-72,,,,,,
VINTAGE DOILY DELUXE SEWING KIT,-40,,,,,,
LUNCH BOX I LOVE LONDON,-36,,,,,,
RETROSPOT WOODEN HEART DECORATION,-36,,,,,,
DOLLY GIRL LUNCH BOX,-34,,,,,,
HEART OF WICKER SMALL,-33,,,,,,
SCANDINAVIAN PAISLEY PICNIC BAG,-30,,,,,,
60 CAKE CASES DOLLY GIRL DESIGN,-24,,,,,,
FOLKART HEART NAPKIN RINGS,-24,,,,,,
NO SINGING METAL SIGN,-24,,,,,,
SET OF 60 PANTRY DESIGN CAKE CASES,-22,,,,,,
HOT BATHS SOAP HOLDER,-21,,,,,,
JUMBO BAG VINTAGE LEAF,-20,,,,,,
GLASS JAR ENGLISH CONFECTIONERY,-17,,,,,,
36 PENCILS TUBE RED RETROSPOT,-16,,,,,,
JIGSAW TREE WITH BIRDHOUSE,-15,,,,,,
REGENCY CAKESTAND 3 TIER,-14,,,,,,
LUNCH BAG CARS BLUE,-13,,,,,,
BEACH HUT DESIGN BLACKBOARD,-12,,,,,,
HAND WARMER UNION JACK,-12,,,,,,
PENNY FARTHING BIRTHDAY CARD,-12,,,,,,
PICTURE FRAME WOOD TRIPLE PORTRAIT,-12,,,,,,
PINK BLUE FELT CRAFT TRINKET BOX,-12,,,,,,
PLASTERS IN TIN CIRCUS PARADE,-12,,,,,,
RED STRIPE CERAMIC DRAWER KNOB,-12,,,,,,
